#COPIER ID MEAN MIN MAX
C904 904 1.00 0 2
C905 905 0.33 0 1
C906 906 1.33 1 2
C907 907 0.33 0 1
C908 908 1.33 0 3
C909 909 0.33 0 1
C910 910 0.67 0 1
C911 911 1.67 1 3
C912 912 1.00 1 1
C913 913 1.00 0 2
C914 914 1.33 0 3
C915 915 1.67 0 3
C916 916 1.00 0 2
C917 917 1.67 1 2
C918 918 1.00 1 1
C919 919 0.67 0 2
C920 920 1.33 1 2
C921 921 1.67 1 3
C922 922 2.00 0 4
C923 923 1.00 0 2
C924 924 1.00 1 1
C925 925 0.33 0 1
C926 926 0.67 0 1
C927 927 0.67 0 1
C928 928 1.00 0 2
C929 929 1.33 1 2
C930 930 1.00 0 2
C931 931 2.33 0 4
C932 932 1.67 1 2
C933 933 0.67 0 1
C934 934 0.33 0 1
C935 935 0.33 0 1
C936 936 0.00 0 0
C937 937 1.67 0 4
C938 938 1.33 1 2
C939 939 1.00 0 2
C940 940 0.67 0 2
C941 941 1.00 0 2
C942 942 0.33 0 1
C943 943 0.67 0 2
C944 944 0.67 0 2
C945 945 0.67 0 1
C946 946 0.67 0 2
C947 947 1.00 0 2
C948 948 1.33 1 2
C949 949 0.33 0 1
C950 950 1.67 0 3
C951 951 0.67 0 1
C952 952 1.33 0 3
C953 953 1.00 0 2
C954 954 0.67 0 2
C955 955 1.67 0 3
C956 956 1.00 0 2
C957 957 0.67 0 1
C958 958 0.67 0 1
C959 959 0.33 0 1
C960 960 1.33 0 2
C961 961 1.67 0 3
C962 962 0.00 0 0
C963 963 1.00 0 2
C964 964 0.67 0 2
C965 965 1.33 1 2
C966 966 0.67 0 1
C967 967 1.67 0 4
C968 968 0.00 0 0
C969 969 1.00 0 3
C970 970 1.67 0 3
C971 971 0.33 0 1
C972 972 0.00 0 0
C973 973 1.00 0 2
C974 974 1.33 0 2
C975 975 0.67 0 1
C976 976 0.00 0 0
C977 977 1.00 0 2
C978 978 3.00 2 4
C979 979 2.00 2 2
C980 980 0.67 0 1
C981 981 1.33 0 2
C982 982 0.67 0 1
C983 983 0.33 0 1
C984 984 0.67 0 2
C985 985 0.67 0 1
C986 986 1.67 0 4
C987 987 0.33 0 1
C988 988 0.67 0 2
C989 989 1.67 1 2
C990 990 1.67 0 4
C991 991 1.00 1 1
C992 992 0.67 0 1
C993 993 1.00 1 1
C994 994 1.67 1 3
C995 995 0.00 0 0
C996 996 1.00 0 3
C997 997 1.00 1 1
C998 998 1.00 0 2
C999 999 1.00 1 1
